,clean_name,transactor_type
134896,gratiot county democratic party,Organization
134898,gladwin county gop,Organization
134900,sylvia grot for state representative,Organization
134901,cte william thompson,Organization
134902,cte jim diez,Organization
134903,take michigan back (superpac),Organization
134906,mi right to vote,Organization
134907,cte robert regan,Organization
134908,steven gilbert for state representat,Organization
134911,saginaw county democratic executive,Organization
134912,ottawa integrity pac,Organization
134913,huron county republican party,Organization
134915,automobile club of michigan politica,Organization
134916,graham diedrich for state representa,Organization
134917,jeffrey d pepper,Organization
134920,peoples choice diane randall cte,Organization
136061,committee to elect tyrone carter,Organization
136062,concerned citizen,Organization
136063,jaffe snider raitt heuer and weiss,Organization
136065,reproductive freedom for all,Organization
136879,state police command officers associ,Organization
136885,friends of conservative values,Organization
137560,aft michigan independent expenditure,Organization
137564,cte mellissa carone,Organization
137565,michigan emergency doctors political,Organization
137566,cte tenisha yancey for state rep,Organization
139105,michigan beverage association pac,Organization
139107,mi assoc county drain commissioners,Organization
139108,michigan land title association poli,Organization
139117,mike mueller leadership fund,Organization
139124,ready to equip industrious leaders,Organization
139125,huron valley democratic club pac,Organization
139129,friends of corn pac,Organization
139133,rental property owners assoc of kent,Organization
139134,jewish agency political action commi,Organization
139137,grand rapids chamber comeback pac,Organization
143112,mi building and construction trades,Organization
144556,health political action committee mi,Organization
151156,great lakes education project,Organization
151162,right to life of michigan state poli,Organization
151166,michigan concrete association politi,Organization
151167,howell for michigan fund,Organization
151173,make michigan great (superpac),Organization
152300,friends of wmu,Organization
153869,mi politics (superpac),Organization
156682,education gets results,Organization
158127,school psychologists for kids michig,Organization
158129,foster pac,Organization
158134,end citizens united non-federal mi,Organization
158136,parents not politicians,Organization
158137,michigan chamber of commerce pac ii,Organization
158138,true michigan pac  superpac,Organization
158140,fawn armstrong for judge,Organization
158143,hope rising action fund,Organization
164626,committee to elect mike milanowski j,Organization
165930,occidental petroleum corporation pol,Organization
165934,progressive turnout project,Organization
166902,michigan septic tank association pac,Organization
168245,zeneca inc. political action committ,Organization
168252,conservation voters of michigan pac,Organization
168253,norfolk southern good government fun,Organization
168254,michigan radiology political action,Organization
181898,home builders association political,Organization
181900,mamc clerk pac,Organization
181901,michigan pork producers association,Organization
181904,michigan distributors and vendors as,Organization
186332,inspire michigan,Organization
186337,retail wholesale department store un,Organization
186343,women of michigan action network pac,Organization
186351,michigan patriots pac (superpac),Organization
186354,community change voters (superpac),Organization
187600,michigan pest management association,Organization
187602,auto dealers of michigan political a,Organization
187603,cornerstone pac,Organization
187606,detroit caucus pac,Organization
200202,t cole leadership fund,Organization
200203,bumstead leadership fund,Organization
200209,vansingel majority fund,Organization
200210,west michigan cannabis guild,Organization
200214,michigan needs an adjustment,Organization
200216,comm pac,Organization
200221,comm workers of america mi cwa-mac,Organization
200223,future northern michigan,Organization
200226,northwest wayne county state local p,Organization
200230,daley majority fund,Organization
201684,pohutsky for michigan fund,Organization
201689,the sinas dramis law firm pac,Organization
201690,michigan opportunity,Organization
201691,mi greenstone pac,Organization
201697,protect michigan craft beer,Organization
203783,defending michigan values,Organization
203785,nesbitt majority fund 2,Organization
203791,growing michigan majority fund,Organization
205311,glm political action committee,Organization
205313,mac pac,Organization
205316,csx corporation good govt fund,Organization
212519,convention of states political fund,Organization
212521,leadership for educational equity -,Organization
216535,mastronardi produce west pac,Organization
216539,giffords pac,Organization
216540,american property casualty insurance,Organization
216541,for mi kids for our schools,Organization
217478,citizens to support mi women and chi,Organization
217488,afendoulis for michigan pac,Organization
218735,friends of michigan community action,Organization
218736,grosse ile taxpayers association (su,Organization
218744,michigan education partners politica,Organization
218748,rooted in community leadership pac,Organization
218749,forward majority action michigan (su,Organization
218752,michigan society of professional eng,Organization
218753,the michigan leadership fund,Organization
218756,let mi kids learn,Organization
218759,associated general contractors polit,Organization
218761,camilleri for michigan,Organization
219863,rank mi vote ballot question committ,Organization
219868,justice for all (superpac),Organization
219871,puri pac,Organization
219874,the scotts miracle gro co stewardshi,Organization
219877,a better michigan,Organization
220772,brixie for michigan fund,Organization
220774,wozpac,Organization
220779,surveyors pac mi society of professi,Organization
221944,powering the economy (superpac),Organization
223489,michigan home health association pac,Organization
223490,committee to revive michigan electio,Organization
233177,brabec equity fund,Organization
233179,cambensy for michigan leadership fun,Organization
233182,run michigan right fund,Organization
233184,jacobs solutions inc. political acti,Organization
233186,promote the vote 2022,Organization
234369,architects political action committe,Organization
234371,michelle frederick for state board o,Organization
234374,committee to elect diana mohyi,Organization
234377,sherry gay dagnogo strong women lead,Organization
234379,associated food and petroleum dealer,Organization
244288,wayne 12th congressional district re,Organization
244289,michigan forest products council,Organization
244292,humane world action fund of michigan,Organization
244299,leaders engaged actively in democrac,Organization
244301,democratic club of taylor womens aux,Organization
246334,united food and commercial workers a,Organization
254960,friends of mclaren political action,Organization
257163,brighter michigan pac (superpac),Organization
257165,huck pac inc,Organization
260344,michigan impact,Organization
260345,national assoc of social workers pac,Organization
260348,voters for transparency and term lim,Organization
260349,unity in action,Organization
260362,edupac1,Organization
261544,friends of dayne hoffman,Organization
261549,advance michigan (superpac),Organization
261552,take back michigan superpac,Organization
261554,committee to elect dan vanden heede,Organization
261557,bank on wayne county,Organization
261558,melanie foster for msu trustee,Organization
261559,committee to elect george d. lyons,Organization
261560,baraga co rep comm,Organization
261563,michigan organization on adolescent,Organization
261564,forest hills democratic club,Organization
261565,us taxpayers party of michigan state,Organization
263245,muskegon county republican executive,Organization
263246,friends of george ranville,Organization
263248,committee to elect michael brooks,Organization
263251,committee to elect barbara conley,Organization
263252,committee to elect kenneth kish,Organization
263253,committee to elect cathy albro,Organization
263254,committee to elect reggie reg davis,Organization
263256,cte khalil othman,Organization
263260,committee to elect kevin counts,Organization
263261,citizens to elect kathy schmaltz,Organization
263262,james shepler for state representati,Organization
263263,ryan gallogly for michigan,Organization
263264,friends of brian hosticka,Organization
263265,the committee to elect robin mcgrego,Organization
263266,klint kesto for senate,Organization
263267,friends of holli vallade,Organization
265412,committee to elect marshall averill,Organization
265413,committee to elect athena lynn thorn,Organization
265414,friends of reggie miller,Organization
265416,committee to elect dave staudt,Organization
265417,committee to elect matthew sabaugh f,Organization
265421,committee to elect kayle keith hinkl,Organization
265424,committee to elect jenn hill state r,Organization
265426,joel sheltrown for senate,Organization
265428,cte greg alexander for state represe,Organization
265429,committee to elect rebecca jurva-bri,Organization
265431,cte mary berlingieri for state repre,Organization
265434,committee to elect aaron delikta,Organization
266561,karl barr for judge,Organization
266562,joseph fox for state representative,Organization
266563,david soltis for state house,Organization
266564,committee to elect david lacasse dis,Organization
266569,friends of randy bishop,Organization
266572,john braamse for state senate,Organization
268172,rodney wakeman for state senator,Organization
268174,diana lynn mcclain,Organization
268175,friends of james desana,Organization
268179,committee to elect nancy deboer,Organization
268183,committee to elect gregory c. pittma,Organization
268184,committee to elect kathy clark,Organization
268193,family business owners of michigan p,Organization
268195,committee to elect melody wagner,Organization
269576,committee to elect kimberly sheppard,Organization
270867,committee to elect brian warzocha,Organization
270872,cass county democratic party,Organization
270873,keep judge kirsten hartig,Organization
270876,emily busch for state representative,Organization
270878,friends for mark bignell,Organization
270879,committee to elect becket j jones 8,Organization
270882,friends of theresa fougnie,Organization
270883,committee to elect justin mendoza,Organization
272977,people for dylan wegela,Organization
272978,elect tonya goetz for judge,Organization
272984,committee to elect christopher flemi,Organization
272985,friends of mike mcfall,Organization
272986,committee to elect natalie price,Organization
272987,friends of kim jorgensen gane,Organization
272989,julie moore for state representative,Organization
272990,michael markey governor race candida,Organization
272996,committee to retain judge miriam a.,Organization
275165,mark gunn for state representative,Organization
275166,western washtenaw democrats comm,Organization
275169,amgen inc political action committee,Organization
275170,committee to elect debra s. kauten s,Organization
275175,charles ritchard for state senate,Organization
275177,wsp usa pac,Organization
275180,great lakes gun rights pac,Organization
276230,ashley hanson grimes for judge,Organization
276236,government administrators associatio,Organization
278146,committee to elect bert van dyke,Organization
278158,rebecca dangelo judge for kalamazoo,Organization
278159,michigan cable telecommunications as,Organization
278161,morse force leadership fund,Organization
281993,committee to elect steele p hughes,Organization
281994,right to life of michigan victory fu,Organization
284827,committee to elect matthew r kacel,Organization
286836,committee to elect rachel vinales fo,Organization
286839,miller canfield pac,Organization
286840,committee to elect jeremy whittum,Organization
286843,committee to elect frank j lafata,Organization
286844,cte gus tarraf,Organization
286849,kristy pagan leadership fund,Organization
286853,dickinson wright pllc political acti,Organization
286854,the committee to elect troy b daniel,Organization
286856,thomas j. allen cte thomas allen,Organization
288118,landscape architects of michigan pac,Organization
288119,committee to elect martha ptashnik,Organization
288129,mark bernstein for university of mic,Organization
288136,michigan used beverage container pol,Organization
288137,mi association of theatre owners pol,Organization
288142,singh pac,Organization
288144,committee to elect joshua s. eldenbr,Organization
288150,official 9th dist democratic party,Organization
288168,joe hune for state senate,Organization
288175,registers for good government,Organization
288176,altria group inc political action co,Organization
288181,martin blank for state senate,Organization
288191,michigan realtors (superpac),Organization
288209,citizens for honest government,Organization
288216,american federation of state county,Organization
288221,committee to elect mary hood circuit,Organization
288224,exelon corporation political action,Organization
288228,friends of nmu,Organization
288232,michigan psychologist political acti,Organization
288235,prosperity michigan action fund (sup,Organization
288244,committee to elect jim martin,Organization
288247,committee to elect john bizon for st,Organization
288248,friends of barb anness,Organization
288274,committee to elect tommy brann for s,Organization
288296,michigan planned parenthood votes su,Organization
288299,great lakes community investment pac,Organization
288308,james benison for court of appeals,Organization
288320,for our future michigan (superpac),Organization
288321,lansing association for human rights,Organization
288324,comm to ban fracking in michigan,Organization
288343,brian calley for governor,Organization
288373,utica public affairs-michigan educat,Organization
288381,singh for michigan,Organization
288382,singh majority fund,Organization
288389,united parcel service inc pac (upspa,Organization
288390,bristol myers squibb company politic,Organization
288392,howrylak victory fund,Organization
288411,liberty freedom fund,Organization
288419,liberty and justice for all coalitio,Organization
288421,stan grot for michigan republicans,Organization
288422,greater metropolitan association of,Organization
288426,committee to elect john michael malo,Organization
289671,brian williams for state senate,Organization
289717,friends of mark ludwig,Organization
289718,committee to elect larry hull,Organization
289719,elect jose flores for mi house of re,Organization
289720,frank liberati for state senate,Organization
289722,ron kokinda for state rep,Organization
289724,friends of ken ferguson,Organization
289726,committee to elect tamara mitchell f,Organization
289729,committee to elect mark zacharda,Organization
289730,friends of ksenia milstein,Organization
289731,our water our democracy,Organization
289732,committee to elect brennen gorman,Organization
289736,paul robert francis 2022,Organization
289740,committee to elect ryan rank,Organization
289743,committee to elect betsy coffia,Organization
289746,committee to elect marvin cotton jr,Organization
289747,supporters of john cherry,Organization
289750,vote kim nagy committee,Organization
289755,darrin camilleri for state senate,Organization
289757,committee to elect madhu anderson,Organization
289759,brian begole for state rep,Organization
289760,elect seth getz,Organization
289761,alswanson for judge,Organization
289763,committee to elect alex manwell,Organization
289766,elect sharon macdonell,Organization
289768,jason rhines for senate,Organization
289769,committee to elect neil friske,Organization
289771,committee to elect gary mitchell,Organization
289773,friends of hilary dubay,Organization
289774,daylen howard for senate,Organization
289775,friends of matt nilson,Organization
289776,jeffrey noel for michigan state hous,Organization
289777,terry j. sabo for state senate,Organization
289780,committee to elect michelle smith,Organization
289781,kevin hertel for state senate,Organization
289782,committee to elect katybeth davis,Organization
289784,committee to elect jonathan scheel,Organization
289788,committee to elect joseph hohler iii,Organization
289789,service corp international pac,Organization
289790,committee to elect jay deboyer for s,Organization
289791,committee to elect jordan genso,Organization
289792,christine e. barnes for state rep co,Organization
289794,megan cottington heath for circuit c,Organization
289798,michael brodsky for michigan,Organization
289800,thomas albert for state senate,Organization
289801,committee to elect frank j wasung,Organization
289803,committee to elect andrew concannon,Organization
289804,committee to elect dave prestin,Organization
289806,friends of john fitzgerald,Organization
289808,friends to elect kim coonan state re,Organization
289809,friends of doug wozniak,Organization
289810,committee to elect dr patricia berna,Organization
289812,bill g schuette for state representa,Organization
289813,john damoose for state senate,Organization
289814,committee to elect michael frazier,Organization
289817,committee to elect james e johnson j,Organization
289820,committee to elect jenny l. mcneill,Organization
289823,kevin s whiteford,Organization
289824,gabriel rees for state representativ,Organization
289825,committee to elect regina williams,Organization
289827,friends of brian elder,Organization
289828,citizens to elect kenyetta dotson fo,Organization
289829,shadia martini for state representat,Organization
289830,committee to elect john wetzel,Organization
289832,ken barnard for judge,Organization
289833,friends of robyn mccoy,Organization
289834,committee to elect larry jackson,Organization
289835,committee to elect debra warren,Organization
289837,friends of rob kull,Organization
289839,committee to elect danielle c. hall,Organization
289840,friends of joey andrews iv,Organization
289841,tim kelly for state senate,Organization
289843,friends of jon horford,Organization
289848,cte alicia st germaine,Organization
289850,friends of penelope tsernoglou,Organization
289851,iron workers local 25,Organization
289853,veronica klinefelt for state senate,Organization
289854,committee to elect dawn weier circui,Organization
289856,christian velasquez for state senate,Organization
289857,committee to elect austin kreutz,Organization
289859,committee to elect brandon davis,Organization
289860,committee to elect  dale biniecki,Organization
289861,committee to elect gary gerson,Organization
289862,committe to elect diane schindlbeck,Organization
289866,committee to elect paul pirrone,Organization
289868,tricia dare for oakland county circu,Organization
289870,denise mentzer for state representat,Organization
289871,sandy kiesel for state rep,Organization
289876,torchio feaster for judge,Organization
289877,michael bosnic for judge,Organization
289878,elect padma kuppa,Organization
289880,committee to elect kristen mcdonald,Organization
289881,friends of kelsey heck wood,Organization
289883,friends of emily dievendorf,Organization
289885,cte brenda richard district court,Organization
289886,citizens for joe marino,Organization
289887,friends of troy rolling,Organization
289889,renewal republican pac,Organization
289893,emily bauman for michigan,Organization
289894,aisha m farooqi for state representa,Organization
289895,committee to elect allen wilson for,Organization
289897,committee to elect janey lamar for c,Organization
289898,committee to elect katie kniss,Organization
289899,jason hoskins for state representati,Organization
289900,vote sue shink,Organization
289905,committee to elect jack richert,Organization
289909,committee to elect maurice imhoff,Organization
289910,friends of lisa werner,Organization
289911,friends of neil oza,Organization
289912,aaron r gardner for state senate,Organization
289913,friends of jamie thompson,Organization
289915,norm shinkle for state representativ,Organization
289916,friends of matthew bierlein,Organization
289917,cte samraa luqman,Organization
289922,cte joseph aragona,Organization
289923,friends of eddie jenkins,Organization
289927,steven chisholm for state representa,Organization
289929,friends of joe bellino,Organization
289930,jason negri for state representative,Organization
289931,committee to elect will bruck,Organization
289933,committee to elect brittany dicken f,Organization
289939,solidarity for jimmie wilson jr,Organization
289941,friends of jenifer almassy,Organization
289943,committee to elect lynn afendoulis,Organization
289945,friends of nicole breadon,Organization
289948,committee to elect cynthia muszynski,Organization
291305,leadingage michigan pac,Organization
291315,masa pac,Organization
291335,perry johnson for governor,Organization
291337,turn around wayne county (superpac),Organization
291338,get michigan working again (superpac,Organization
291339,angelique camfield for circuit court,Organization
291342,committee to elect maura battersby m,Organization
291368,committee to elect dewaun e robinson,Organization
291374,pat miles for attorney general,Organization
291376,william hindle for senate,Organization
291381,michael warren for justice,Organization
291382,committee to elect jamie murray,Organization
291384,friends of david lagrand,Organization
291387,friends of cheri hardmon,Organization
291389,committee to keep renee knake jeffer,Organization
291390,richard bernstein for justice,Organization
291391,keep kyra harris bolden for justice,Organization
291395,brian zahra for justice,Organization
291400,elect amanda siggins,Organization
291425,friends of glen miller,Organization
291462,committee to elect dale w zorn for,Organization
291463,committee to elect ricardo white,Organization
291475,committee to elect curt vanderwall,Organization
291483,committee to elect jasper martus,Organization
291487,committee to elect wendy jo watters,Organization
291488,friends of michelle friedman appel,Organization
291496,the team and toinu reeves,Organization
291505,cam cavitt for state representative,Organization
291521,friends of bob howey,Organization
291530,richard lopez for hd108,Organization
291532,committee to elect kaleb hudson,Organization
291546,paul hudson for justice,Organization
291550,committee to elect charise anderson,Organization
291581,kelly ann ramsey for judge 2022,Organization
291583,candicepac,Organization
291590,western wayne business owners pac,Organization
291591,chang future fund,Organization
291592,michigan mises pac,Organization
291604,constellation energy corporation emp,Organization
291611,comm for local empowerment superpac,Organization
291614,keith jones for mi house,Organization
291616,committee to re-elect victoria i sha,Organization
291632,avery d rose for probate judge,Organization
291634,committee to elect andy griffin,Organization
291635,morgan cole for 30th circuit court j,Organization
291637,committee to protect voters rights,Organization
291638,committee to elect todd m morgan to,Organization
291643,committee to elect penny crider,Organization
291646,committee to elect ken crider,Organization
291651,dennis denno for trustee,Organization
291656,penelope tsernoglou leadership fund,Organization
291658,ingham county democratic executive c,Organization
291659,amanda j shelton for oakland county,Organization
292953,jason woolford for state representat,Organization
292954,voters action committee (superpac),Organization
292956,michigan families united (superpac),Organization
292957,take back the michigan senate fund,Organization
292987,michigan majority,Organization
292988,make liberty win superpac,Organization
292992,committee to elect greg black,Organization
292994,branch county democratic executive c,Organization
293001,committee to elect harry sawicki,Organization
293006,true boards,Organization
293008,committee to elect julie jensen for,Organization
293010,the committee to elect mary a beebe,Organization
293011,friends of sarah may seward,Organization
293015,families who care,Organization
293017,committee to elect gregory stempfle,Organization
293019,committee to retain judge namita sha,Organization
293021,the committee to elect lakena crespo,Organization
293029,committee to elect mark t foster,Organization
293030,committee to retain judge mark slave,Organization
293035,committee to reelect suzanne faunce,Organization
293042,republican party of macomb county,Organization
293045,committee to elect regina triplett,Organization
293047,committee to elect robert borer,Organization
293048,john dahlgren for state representati,Organization
293057,citizens to elect mike aiello for st,Organization
293072,committee to elect craig pappin,Organization
293074,greater than,Organization
293083,committee to retain judge sima patel,Organization
293088,committee to reelect cynthia lane ju,Organization
293089,committee to elect tenisha renee yan,Organization
293091,committee to retain judge teri lynn,Organization
293108,chris wickman for judge,Organization
293112,friends of albert mansour,Organization
293115,committee to elect anne marie mccart,Organization
293124,friends to elect steven m. hyder fir,Organization
293129,friends of jerry neyer,Organization
293136,community to elect houston james,Organization
293140,linda clor for state rep,Organization
293145,paul kraus for circuit court judge,Organization
293146,no more time for career politicians,Organization
293147,cte julie oneill for judge,Organization
293160,cte adam sabree,Organization
293167,protect life committee supporting wo,Organization
293175,cte lisa dekryger,Organization
293180,committee to elect robert d crosby j,Organization
293181,committee to retain judge robert gae,Organization
293183,friends of donni steele,Organization
294311,kent county democratic party,Organization
294317,tim golding for state senate,Organization
294326,judge michael warren for court of ap,Organization
294337,committee to elect ryan john tetloff,Organization
294338,committee to elect steven r fox jud,Organization
294342,magellan health pac,Organization
294348,tamara d carlone for state board of,Organization
294350,supportersformoniqueowensforsenate,Organization
294354,elect toni mua,Organization
294373,citizens to elect patricia susan fre,Organization
294377,mi speech language hearing msha pac,Organization
294385,we the parents,Organization
294395,the people action fund mi,Organization
294428,committee to elect nicholas christen,Organization
294436,michael j mcclory for probate judge,Organization
294482,friends of brian jackson,Organization
294499,matthew dawson for michigan,Organization
294502,progressive democratic womens caucus,Organization
294503,carrie a rheingans for state represe,Organization
294512,guard our children (superpac),Organization
294516,michigan democratic party senior cau,Organization
294521,somos pac - mi (super pac),Organization
294547,committee to elect velma jean overma,Organization
294548,cte lana maria escamilla,Organization
294550,committee to elect myles w miller fo,Organization
294552,genesee county republican party,Organization
294554,committee to elect aliyah sabree,Organization
294555,committee to elect kelly l. noland 2,Organization
294556,friends of annie brown,Organization
294557,mellissa carone for state senate,Organization
294558,the committee to elect jeffrey lockw,Organization
294559,committee to elect veronica paiz,Organization
294560,committee to elect chastity youngblo,Organization
296778,friends of heather cerone,Organization
296797,friends to elect steve meckley,Organization
298555,committee to elect vicki barnett to,Organization
301958,committee to elect virgie ammerman,Organization
301964,committee to reelect marilyn kelly,Organization
303970,stuart collis for judge,Organization
303977,friends of mitchell robinson,Organization
303979,committee to elect michael behm rege,Organization
323853,michigan manufacturers association i,Organization
323861,michael balow for msu trustee,Organization
323863,committee to elect mary cavanagh,Organization
323864,rick wendorf will win msu in 22,Organization
323873,lena epstein for michigan regent,Organization
325874,committee to elect rafael wolf,Organization
325878,committee to elect mary buzuma,Organization
325880,citizens to elect monica s. galloway,Organization
325881,cte pamela pugh,Organization
325894,committee to elect earl lackie for m,Organization
326901,committee to elect robert womack,Organization
326903,committee to elect kurt damrow,Organization
326906,friends of todd avery,Organization
326910,michigan fraternal order of police,Organization
331015,employees of dupont pac dupont de,Organization
331016,policy over party (superpac),Organization
331017,senior living advisory group,Organization
331024,international association of fire fi,Organization
331025,concerned citizens committee (super,Organization
331032,michigan society of hematology and o,Organization
331957,birmingham-bloomfield area democrati,Organization
331961,farbman group pac,Organization
331969,michigan good guys,Organization
342560,michigan for freedom (superpac),Organization
345432,emgage michigan pac (superpac),Organization
346495,3m company pac,Organization
348247,michigan oil and gas association pac,Organization
348250,genesee future fund,Organization
348263,michigan chamber pac iii (superpac),Organization
359074,capa21,Organization
359075,rebekah warren envision michigan pac,Organization
359077,the six pac,Organization
360159,wfp national pac non contribution ac,Organization
360164,walled lake citizens for parental ri,Organization
360170,planned parenthood action fund inc p,Organization
360171,planned parenthood votes (superpac),Organization
360175,eastside republican club pac,Organization
361422,committee to elect naomi ludman,Organization
363504,the ashley capital pac,Organization
363515,coalition opposing proposal 3,Organization
364742,michigan sierra club independent act,Organization
364747,honigman pac,Organization
366543,school administrators political acti,Organization
367746,united deer farmers of michigan deer,Organization
367747,committee to elect shirley stancato,Organization
371420,the presidential coalition - michiga,Organization
371421,old national bank pac,Organization
371423,human rights campaign pac,Organization
372431,committee to elect wendy webster jac,Organization
372433,fight back fund,Organization
381629,microsoft corporation stakeholders v,Organization
381630,motorola solutions inc political act,Organization
381636,wells fargo and company employee pac,Organization
381637,michigan auto law auto accident at,Organization
381646,fund for democratic women,Organization
381648,committee to elect ron hawkins 2022,Organization
381653,libertarian party of mi exec comm in,Organization
381659,michiganworks (superpac),Organization
381660,miooh fund,Organization
381665,chris martin for east lansing judge,Organization
381671,citizens for positive progress,Organization
381672,public wise pac,Organization
381676,jason morgan majority fund,Organization
381679,working america mi (superpac),Organization
381680,3rd congressional democratic comm,Organization
383453,mi education defense,Organization
383461,macomb businesses united,Organization
383467,koch inc political action committee,Organization
383479,lindsey impact fund,Organization
383487,hntb holdings ltd political action c,Organization
383489,fund for michigans future,Organization
383496,wm good government superpac,Organization
385169,aecom pac,Organization
385180,borton leadership,Organization
385208,wont back down pac (superpac),Organization
385210,asphalt pavement association of mi p,Organization
386386,harris leadership fund,Organization
387847,national association of chain drug s,Organization
387850,bank of america corporation state an,Organization
387851,small business for a better michigan,Organization
387853,gina majority fund,Organization
387855,michigan pray,Organization
391389,safe accessible fair elections michi,Organization
391396,committee to elect ron l. haywood,Organization
402526,capitol affairs pac,Organization
402528,namic pac,Organization
402536,daga michigan people's lawyer projec,Organization
402537,tech for campaigns (super pac),Organization
403200,pac 9 gop,Organization
403201,dga victory fund,Organization
405230,philpac,Organization
405231,mcdonald hopkins llc pac,Organization
405232,traverseconnect pac,Organization
406818,vision for victory,Organization
406821,sap america inc pac,Organization
406822,lakeshore leaders fund,Organization
416371,templar baker group pac,Organization
416372,hate wont win pac,Organization
416376,american fed of state county and mun,Organization
416377,protect the people pac (superpac),Organization
417477,amos oneal leadership pac,Organization
417478,will snyder majority fund,Organization
417484,citizens for energy sovereignty,Organization
418510,movement voter pac mi,Organization
419787,mi dental hygienists pac mdh pac,Organization
419788,friends of matt hall pac,Organization
424010,central michigan conservative leader,Organization
424012,clean wave (superpac),Organization
424965,womens political committee,Organization
426056,mi leaders of tomorrow,Organization
426058,12th congressional district democrat,Organization
426060,jane fonda climate pac,Organization
426061,the lincoln project (super pac),Organization
426063,moveon.org political action,Organization
427982,mission first people always pac,Organization
427984,citizens advancing student education,Organization
427986,sister district project,Organization
427991,integrity first macomb (superpac),Organization
427995,warner norcross and judd pac wnj pac,Organization
427998,deldin law pac,Organization
428001,star pac,Organization
429536,colorofchange pac (superpac),Organization
433473,state democracy defenders pac,Organization
433475,michigan peoples campaign independen,Organization
442484,save michigan pac (superpac),Organization
456515,blackpac michigan (superpac),Organization
470830,nextgen climate action committee (su,Organization
509265,run for something michigan,Organization
509266,humane society legislative fund (sup,Organization
510767,lgbtq victory fund federal pac,Organization
510771,michigan leadership committee pac (s,Organization
514402,gun rights america (superpac),Organization
514403,los angeles womens giving collective,Organization
514404,impact fund,Organization
514406,women vote michigan (superpac),Organization
516385,michael lynn haueisen,Organization
521884,michiganders for freedom,Organization
521885,american principles project pac (sup,Organization
521896,michigan agri business association,Organization
548988,committee to elect jessie scott wood,Organization
550893,committee to elect craig wilsher for,Organization
550894,scott barlow for michigan,Organization
550899,team paul taros,Organization
550909,erin byrnes for state representative,Organization
550911,newaygo county democratic comm,Organization
550917,committee to elect nate bailey,Organization
550919,nuestro pac - mi (superpac),Organization
552851,isabella county democratic party,Organization
552852,josh hilgart for judge,Organization
552853,make democracy work,Organization
552875,committee to elect kiefer joseph cox,Organization
557070,hillsdale county republican party,Organization
560794,friends of lisa babcock,Organization
562766,clare county democratic committee,Organization
562783,jackson county democratic executive,Organization
562788,defend your vote,Organization
566512,committee for robert noble dist 8,Organization
568586,friends of christine gerace,Organization
572737,committee to elect george lucas,Organization
574557,parker fairbairn for state represent,Organization
578315,friends to elect danielle atkinson,Organization
608375,kelly sackett for state rep,Organization
608377,protect mi voter id,Organization
617732,mason county democratic party,Organization
636999,committee to elect judge kristen sim,Organization
637000,somos votantes - michigan,Organization
638859,defend freedom,Organization
638863,cte donavan mckinney for state rep,Organization
698448,tina bednarski-lynch for state repre,Organization
711610,friends of stephanie fakih,Organization
828904,committee to elect kimberly kennedy,Organization
828920,hands off our kids,Organization
830655,unborn equity and voting integrity,Organization
833901,ivote ie mi pac (super pac),Organization
833904,committee to elect paul whitney,Organization
835619,national rifle association political,Organization
835631,lapeer proposals,Organization
835645,residents for a better wayne county,Organization
835649,committee to retain alan curtis as p,Organization
835653,committee to elect cyndi s peltonen,Organization
835656,philip cavanagh for 3rd circuit judg,Organization
837889,the committee to retain tony flores,Organization
841741,christa murphy for wsu,Organization
951634,cozen oconnor pac,Organization
951641,stronger fairer forward mi pac,Organization
956004,democratic messaging project,Organization
956014,triston cole for state senate,Organization
956016,rob gjonaj donovic for rep,Organization
956021,republican accountability pac (super,Organization
956033,ultraviolet pac - mi (super pac),Organization
977380,beau lafave for state representative,Organization
977387,committee to protect health care - m,Organization
977389,ionia county republican party,Organization
977392,citizens for a better government,Organization
977393,commitee to elect jacob skarbek for,Organization
979782,friends of salim al shatel,Organization
979789,susan b. anthony candidate fund,Organization
979803,jordan acker for regent,Organization
979809,com reelct judge sheila ann gibson,Organization
979812,crh americas inc pac,Organization
983990,committee to elect charles shelton,Organization
983994,committee to elect jessie couch,Organization
984000,rffw ballot question committee,Organization
987767,westland police lts and sgts associa,Organization
987768,laborers local 1191 construction wor,Organization
987777,grosse pointe education 1st (superpa,Organization
987779,conlin for michigan,Organization
989006,committee to elect kristian grant,Organization
990219,otsego county democratic party,Organization
990231,sharifa kerene moore for court of ap,Organization
992074,cascade leadership fund,Organization
993172,get smit done leadership fund,Organization
994585,antrim county republican party,Organization
995583,roger victory for state house,Organization
995588,committee to elect adrienne g. scrug,Organization
995590,young for michigan pac,Organization
996424,5th district republican committee,Organization
997556,take it back superpac,Organization
997557,chippewa county republican committee,Organization
997559,oakland educators pac,Organization
1002303,committee to elect jared polonowski,Organization
1002304,jolene clearwater for allegan county,Organization
1002307,karl bohnak 4 state rep,Organization
1003998,6th congressional district republica,Organization
1004002,flagstar bank federal pac,Organization
1004003,friends of andrea rutkowski,Organization
1004013,friends of mai xiong,Organization
1005895,friends of layla taha,Organization
1005896,peter herzberg for state rep,Organization
1005897,alpena county republican party,Organization
1005901,josh powell for michigan,Organization
1005920,the peoples pac,Organization
1007736,ogemaw county republican committee,Organization
1007740,michigan smart td pac,Organization
1007742,citizens for the michigan animal abu,Organization
1007744,denise ilitch for u of m regent,Organization
1009443,apartment association of michigan po,Organization
1009455,stacey truesdell for probate judge,Organization
1009456,great lakes physicians organization,Organization
1010895,michigan 9th congressional district,Organization
1012334,purpose financial inc. pac,Organization
